15	15	E	-1.1561375085561074E7	169
transitionprobs	14	11	0.019001251157270825
transitionprobs	14	12	0.008276069579174972
transitionprobs	14	13	0.009345556250566947
transitionprobs	14	14	0.7831249357492882
transitionprobs	14	15	0.12970136359951326
transitionprobs	15	1	4.039011778232791E-5
transitionprobs	15	2	5.96692652519235E-5
transitionprobs	15	3	0.004510756263800313
transitionprobs	15	4	0.02438822533587129
transitionprobs	15	5	0.0
transitionprobs	15	6	1.949657095332618E-5
transitionprobs	15	7	1.5081077028785543E-5
transitionprobs	15	8	1.3550900483062976E-5
transitionprobs	15	9	1.61831232749171E-4
transitionprobs	15	10	4.704009886369234E-4
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	9.601726993764157E-4
transitionprobs	15	14	0.03298611177511956
transitionprobs	15	15	0.936374313772947
emissionprobs	1	0	CtcfStdAlnRep1	0	0.9939824702367398
emissionprobs	1	0	CtcfStdAlnRep1	1	0.006017529763260047
emissionprobs	1	1	Ezh239875AlnRep1	0	0.9992071792305113
emissionprobs	1	1	Ezh239875AlnRep1	1	7.928207694887351E-4
emissionprobs	1	2	H2azAlnRep1	0	0.9998978547120776
emissionprobs	1	2	H2azAlnRep1	1	1.0214528792242137E-4
emissionprobs	1	3	H3k09me3AlnRep1	0	0.8834852898216035
emissionprobs	1	3	H3k09me3AlnRep1	1	0.11651471017839644
emissionprobs	1	4	H3k27acStdAlnRep1	0	0.9990628011269911
emissionprobs	1	4	H3k27acStdAlnRep1	1	9.371988730089442E-4
emissionprobs	1	5	H3k27me3StdAlnRep1	0	0.9995127683848076
emissionprobs	1	5	H3k27me3StdAlnRep1	1	4.8723161519246974E-4
emissionprobs	1	6	H3k36me3StdAlnRep1	0	0.9991759859854228
emissionprobs	1	6	H3k36me3StdAlnRep1	1	8.240140145771938E-4
emissionprobs	1	7	H3k4me1StdAlnRep1	0	0.9998639247474888
emissionprobs	1	7	H3k4me1StdAlnRep1	1	1.3607525251129826E-4
emissionprobs	1	8	H3k4me2StdAlnRep1	0	0.9998510546376722
emissionprobs	1	8	H3k4me2StdAlnRep1	1	1.4894536232768578E-4
emissionprobs	1	9	H3k4me3StdAlnRep1	0	0.9997459974075364
emissionprobs	1	9	H3k4me3StdAlnRep1	1	2.540025924635029E-4
emissionprobs	1	10	H3k79me2AlnRep1	0	0.9999523605546059
emissionprobs	1	10	H3k79me2AlnRep1	1	4.763944539415532E-5
emissionprobs	1	11	H3k9acStdAlnRep1	0	0.9999433575679737
emissionprobs	1	11	H3k9acStdAlnRep1	1	5.664243202619098E-5
emissionprobs	1	12	H3k9me1StdAlnRep1	0	0.99953174944494
emissionprobs	1	12	H3k9me1StdAlnRep1	1	4.6825055506004174E-4
emissionprobs	1	13	H4k20me1StdAlnRep1	0	0.9991871456642389
emissionprobs	1	13	H4k20me1StdAlnRep1	1	8.128543357609923E-4
emissionprobs	1	14	Pol2bStdAlnRep1	0	0.9834146515248867
emissionprobs	1	14	Pol2bStdAlnRep1	1	0.016585348475113258
emissionprobs	2	0	CtcfStdAlnRep1	0	0.8598071825185843
emissionprobs	2	0	CtcfStdAlnRep1	1	0.1401928174814156
emissionprobs	2	1	Ezh239875AlnRep1	0	0.7914318010225496
emissionprobs	2	1	Ezh239875AlnRep1	1	0.20856819897745035
emissionprobs	2	2	H2azAlnRep1	0	0.9236349251817859
emissionprobs	2	2	H2azAlnRep1	1	0.07636507481821408
emissionprobs	2	3	H3k09me3AlnRep1	0	0.11561915097426077
emissionprobs	2	3	H3k09me3AlnRep1	1	0.8843808490257392
emissionprobs	2	4	H3k27acStdAlnRep1	0	0.9679708497295152
emissionprobs	2	4	H3k27acStdAlnRep1	1	0.032029150270484814
emissionprobs	2	5	H3k27me3StdAlnRep1	0	0.7723020560082056
emissionprobs	2	5	H3k27me3StdAlnRep1	1	0.22769794399179452
emissionprobs	2	6	H3k36me3StdAlnRep1	0	0.5484671282747315
emissionprobs	2	6	H3k36me3StdAlnRep1	1	0.4515328717252684
emissionprobs	2	7	H3k4me1StdAlnRep1	0	0.9661148328204118
emissionprobs	2	7	H3k4me1StdAlnRep1	1	0.03388516717958833
